metric	aggregation	train_set	train_size	growth_factor	test_set	run	measure	value
wer	count	libri	0.1	-1.0	ood	final	num_sentences	2958.0
wer	mean	libri	0.1	-1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	0.1	-1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	0.1	-1.0	ood	final	num_sentences	1.0
wer	25%	libri	0.1	-1.0	ood	final	num_sentences	1.0
wer	50%	libri	0.1	-1.0	ood	final	num_sentences	1.0
wer	75%	libri	0.1	-1.0	ood	final	num_sentences	1.0
wer	max	libri	0.1	-1.0	ood	final	num_sentences	44.0
wer	count	libri	100.0	8.0	ood	final	num_sentences	2958.0
wer	mean	libri	100.0	8.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	100.0	8.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	100.0	8.0	ood	final	num_sentences	1.0
wer	25%	libri	100.0	8.0	ood	final	num_sentences	1.0
wer	50%	libri	100.0	8.0	ood	final	num_sentences	1.0
wer	75%	libri	100.0	8.0	ood	final	num_sentences	1.0
wer	max	libri	100.0	8.0	ood	final	num_sentences	44.0
wer	count	libri	1.0	-1.0	ood	final	num_sentences	2958.0
wer	mean	libri	1.0	-1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	1.0	-1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	1.0	-1.0	ood	final	num_sentences	1.0
wer	25%	libri	1.0	-1.0	ood	final	num_sentences	1.0
wer	50%	libri	1.0	-1.0	ood	final	num_sentences	1.0
wer	75%	libri	1.0	-1.0	ood	final	num_sentences	1.0
wer	max	libri	1.0	-1.0	ood	final	num_sentences	44.0
wer	count	libri	100.0	0.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	100.0	0.0	dev-clean	final	num_sentences	67.575
wer	std	libri	100.0	0.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	100.0	0.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	100.0	0.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	100.0	0.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	100.0	0.0	dev-clean	final	num_sentences	78.0
wer	max	libri	100.0	0.0	dev-clean	final	num_sentences	101.0
wer	count	libri	10.0	1.0	test-clean	final	num_sentences	40.0
wer	mean	libri	10.0	1.0	test-clean	final	num_sentences	65.5
wer	std	libri	10.0	1.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	10.0	1.0	test-clean	final	num_sentences	32.0
wer	25%	libri	10.0	1.0	test-clean	final	num_sentences	49.25
wer	50%	libri	10.0	1.0	test-clean	final	num_sentences	62.0
wer	75%	libri	10.0	1.0	test-clean	final	num_sentences	75.0
wer	max	libri	10.0	1.0	test-clean	final	num_sentences	108.0
wer	count	libri	0.1	8.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	0.1	8.0	dev-clean	final	num_sentences	67.575
wer	std	libri	0.1	8.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	0.1	8.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	0.1	8.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	0.1	8.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	0.1	8.0	dev-clean	final	num_sentences	78.0
wer	max	libri	0.1	8.0	dev-clean	final	num_sentences	101.0
wer	count	libri	100.0	2.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	100.0	2.0	dev-clean	final	num_sentences	67.575
wer	std	libri	100.0	2.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	100.0	2.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	100.0	2.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	100.0	2.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	100.0	2.0	dev-clean	final	num_sentences	78.0
wer	max	libri	100.0	2.0	dev-clean	final	num_sentences	101.0
wer	count	libri	10.0	0.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	10.0	0.0	dev-clean	final	num_sentences	67.575
wer	std	libri	10.0	0.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	10.0	0.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	10.0	0.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	10.0	0.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	10.0	0.0	dev-clean	final	num_sentences	78.0
wer	max	libri	10.0	0.0	dev-clean	final	num_sentences	101.0
wer	count	libri	10.0	1.0	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	1.0	ood	final	num_sentences	1.0
wer	25%	libri	10.0	1.0	ood	final	num_sentences	1.0
wer	50%	libri	10.0	1.0	ood	final	num_sentences	1.0
wer	75%	libri	10.0	1.0	ood	final	num_sentences	1.0
wer	max	libri	10.0	1.0	ood	final	num_sentences	44.0
wer	count	libri	10.0	-1.0	test-clean	final	num_sentences	40.0
wer	mean	libri	10.0	-1.0	test-clean	final	num_sentences	65.5
wer	std	libri	10.0	-1.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	10.0	-1.0	test-clean	final	num_sentences	32.0
wer	25%	libri	10.0	-1.0	test-clean	final	num_sentences	49.25
wer	50%	libri	10.0	-1.0	test-clean	final	num_sentences	62.0
wer	75%	libri	10.0	-1.0	test-clean	final	num_sentences	75.0
wer	max	libri	10.0	-1.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	8.0	test-clean	final	num_sentences	40.0
wer	mean	libri	10.0	8.0	test-clean	final	num_sentences	65.5
wer	std	libri	10.0	8.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	10.0	8.0	test-clean	final	num_sentences	32.0
wer	25%	libri	10.0	8.0	test-clean	final	num_sentences	49.25
wer	50%	libri	10.0	8.0	test-clean	final	num_sentences	62.0
wer	75%	libri	10.0	8.0	test-clean	final	num_sentences	75.0
wer	max	libri	10.0	8.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	2.0	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	2.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	2.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	2.0	ood	final	num_sentences	1.0
wer	25%	libri	10.0	2.0	ood	final	num_sentences	1.0
wer	50%	libri	10.0	2.0	ood	final	num_sentences	1.0
wer	75%	libri	10.0	2.0	ood	final	num_sentences	1.0
wer	max	libri	10.0	2.0	ood	final	num_sentences	44.0
wer	count	libri	1.0	1.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	1.0	1.0	dev-clean	final	num_sentences	67.575
wer	std	libri	1.0	1.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	1.0	1.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	1.0	1.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	1.0	1.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	1.0	1.0	dev-clean	final	num_sentences	78.0
wer	max	libri	1.0	1.0	dev-clean	final	num_sentences	101.0
wer	count	libri	0.1	-1.0	test-clean	final	num_sentences	40.0
wer	mean	libri	0.1	-1.0	test-clean	final	num_sentences	65.5
wer	std	libri	0.1	-1.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	0.1	-1.0	test-clean	final	num_sentences	32.0
wer	25%	libri	0.1	-1.0	test-clean	final	num_sentences	49.25
wer	50%	libri	0.1	-1.0	test-clean	final	num_sentences	62.0
wer	75%	libri	0.1	-1.0	test-clean	final	num_sentences	75.0
wer	max	libri	0.1	-1.0	test-clean	final	num_sentences	108.0
wer	count	libri	100.0	1.0	ood	final	num_sentences	2958.0
wer	mean	libri	100.0	1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	100.0	1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	100.0	1.0	ood	final	num_sentences	1.0
wer	25%	libri	100.0	1.0	ood	final	num_sentences	1.0
wer	50%	libri	100.0	1.0	ood	final	num_sentences	1.0
wer	75%	libri	100.0	1.0	ood	final	num_sentences	1.0
wer	max	libri	100.0	1.0	ood	final	num_sentences	44.0
wer	count	libri	0.1	0.5	ood	final	num_sentences	2958.0
wer	mean	libri	0.1	0.5	ood	final	num_sentences	1.4739688979039889
wer	std	libri	0.1	0.5	ood	final	num_sentences	1.8639465628129697
wer	min	libri	0.1	0.5	ood	final	num_sentences	1.0
wer	25%	libri	0.1	0.5	ood	final	num_sentences	1.0
wer	50%	libri	0.1	0.5	ood	final	num_sentences	1.0
wer	75%	libri	0.1	0.5	ood	final	num_sentences	1.0
wer	max	libri	0.1	0.5	ood	final	num_sentences	44.0
wer	count	libri	1.0	2.0	test-clean	final	num_sentences	40.0
wer	mean	libri	1.0	2.0	test-clean	final	num_sentences	65.5
wer	std	libri	1.0	2.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	1.0	2.0	test-clean	final	num_sentences	32.0
wer	25%	libri	1.0	2.0	test-clean	final	num_sentences	49.25
wer	50%	libri	1.0	2.0	test-clean	final	num_sentences	62.0
wer	75%	libri	1.0	2.0	test-clean	final	num_sentences	75.0
wer	max	libri	1.0	2.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	2.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	10.0	2.0	dev-clean	final	num_sentences	67.575
wer	std	libri	10.0	2.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	10.0	2.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	10.0	2.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	10.0	2.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	10.0	2.0	dev-clean	final	num_sentences	78.0
wer	max	libri	10.0	2.0	dev-clean	final	num_sentences	101.0
wer	count	libri	1.0	1.0	test-clean	final	num_sentences	40.0
wer	mean	libri	1.0	1.0	test-clean	final	num_sentences	65.5
wer	std	libri	1.0	1.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	1.0	1.0	test-clean	final	num_sentences	32.0
wer	25%	libri	1.0	1.0	test-clean	final	num_sentences	49.25
wer	50%	libri	1.0	1.0	test-clean	final	num_sentences	62.0
wer	75%	libri	1.0	1.0	test-clean	final	num_sentences	75.0
wer	max	libri	1.0	1.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	0.0	test-clean	final	num_sentences	40.0
wer	mean	libri	10.0	0.0	test-clean	final	num_sentences	65.5
wer	std	libri	10.0	0.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	10.0	0.0	test-clean	final	num_sentences	32.0
wer	25%	libri	10.0	0.0	test-clean	final	num_sentences	49.25
wer	50%	libri	10.0	0.0	test-clean	final	num_sentences	62.0
wer	75%	libri	10.0	0.0	test-clean	final	num_sentences	75.0
wer	max	libri	10.0	0.0	test-clean	final	num_sentences	108.0
wer	count	libri	0.1	0.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	0.1	0.0	dev-clean	final	num_sentences	67.575
wer	std	libri	0.1	0.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	0.1	0.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	0.1	0.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	0.1	0.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	0.1	0.0	dev-clean	final	num_sentences	78.0
wer	max	libri	0.1	0.0	dev-clean	final	num_sentences	101.0
wer	count	libri	10.0	1.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	10.0	1.0	dev-clean	final	num_sentences	67.575
wer	std	libri	10.0	1.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	10.0	1.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	10.0	1.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	10.0	1.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	10.0	1.0	dev-clean	final	num_sentences	78.0
wer	max	libri	10.0	1.0	dev-clean	final	num_sentences	101.0
wer	count	libri	0.1	1.0	ood	final	num_sentences	2958.0
wer	mean	libri	0.1	1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	0.1	1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	0.1	1.0	ood	final	num_sentences	1.0
wer	25%	libri	0.1	1.0	ood	final	num_sentences	1.0
wer	50%	libri	0.1	1.0	ood	final	num_sentences	1.0
wer	75%	libri	0.1	1.0	ood	final	num_sentences	1.0
wer	max	libri	0.1	1.0	ood	final	num_sentences	44.0
wer	count	libri	10.0	0.0	dev-clean	extended	num_sentences	40.0
wer	mean	libri	10.0	0.0	dev-clean	extended	num_sentences	67.575
wer	std	libri	10.0	0.0	dev-clean	extended	num_sentences	16.714629704359176
wer	min	libri	10.0	0.0	dev-clean	extended	num_sentences	36.0
wer	25%	libri	10.0	0.0	dev-clean	extended	num_sentences	56.5
wer	50%	libri	10.0	0.0	dev-clean	extended	num_sentences	68.0
wer	75%	libri	10.0	0.0	dev-clean	extended	num_sentences	78.0
wer	max	libri	10.0	0.0	dev-clean	extended	num_sentences	101.0
wer	count	libri	1.0	1.0	ood	final	num_sentences	2958.0
wer	mean	libri	1.0	1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	1.0	1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	1.0	1.0	ood	final	num_sentences	1.0
wer	25%	libri	1.0	1.0	ood	final	num_sentences	1.0
wer	50%	libri	1.0	1.0	ood	final	num_sentences	1.0
wer	75%	libri	1.0	1.0	ood	final	num_sentences	1.0
wer	max	libri	1.0	1.0	ood	final	num_sentences	44.0
wer	count	libri	100.0	8.0	test-clean	final	num_sentences	40.0
wer	mean	libri	100.0	8.0	test-clean	final	num_sentences	65.5
wer	std	libri	100.0	8.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	100.0	8.0	test-clean	final	num_sentences	32.0
wer	25%	libri	100.0	8.0	test-clean	final	num_sentences	49.25
wer	50%	libri	100.0	8.0	test-clean	final	num_sentences	62.0
wer	75%	libri	100.0	8.0	test-clean	final	num_sentences	75.0
wer	max	libri	100.0	8.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	0.5	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	0.5	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	0.5	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	0.5	ood	final	num_sentences	1.0
wer	25%	libri	10.0	0.5	ood	final	num_sentences	1.0
wer	50%	libri	10.0	0.5	ood	final	num_sentences	1.0
wer	75%	libri	10.0	0.5	ood	final	num_sentences	1.0
wer	max	libri	10.0	0.5	ood	final	num_sentences	44.0
wer	count	libri	1.0	0.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	1.0	0.0	dev-clean	final	num_sentences	67.575
wer	std	libri	1.0	0.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	1.0	0.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	1.0	0.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	1.0	0.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	1.0	0.0	dev-clean	final	num_sentences	78.0
wer	max	libri	1.0	0.0	dev-clean	final	num_sentences	101.0
wer	count	libri	100.0	0.5	dev-clean	final	num_sentences	40.0
wer	mean	libri	100.0	0.5	dev-clean	final	num_sentences	67.575
wer	std	libri	100.0	0.5	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	100.0	0.5	dev-clean	final	num_sentences	36.0
wer	25%	libri	100.0	0.5	dev-clean	final	num_sentences	56.5
wer	50%	libri	100.0	0.5	dev-clean	final	num_sentences	68.0
wer	75%	libri	100.0	0.5	dev-clean	final	num_sentences	78.0
wer	max	libri	100.0	0.5	dev-clean	final	num_sentences	101.0
wer	count	libri	100.0	0.0	ood	final	num_sentences	2958.0
wer	mean	libri	100.0	0.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	100.0	0.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	100.0	0.0	ood	final	num_sentences	1.0
wer	25%	libri	100.0	0.0	ood	final	num_sentences	1.0
wer	50%	libri	100.0	0.0	ood	final	num_sentences	1.0
wer	75%	libri	100.0	0.0	ood	final	num_sentences	1.0
wer	max	libri	100.0	0.0	ood	final	num_sentences	44.0
wer	count	libri	10.0	2.0	test-clean	final	num_sentences	40.0
wer	mean	libri	10.0	2.0	test-clean	final	num_sentences	65.5
wer	std	libri	10.0	2.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	10.0	2.0	test-clean	final	num_sentences	32.0
wer	25%	libri	10.0	2.0	test-clean	final	num_sentences	49.25
wer	50%	libri	10.0	2.0	test-clean	final	num_sentences	62.0
wer	75%	libri	10.0	2.0	test-clean	final	num_sentences	75.0
wer	max	libri	10.0	2.0	test-clean	final	num_sentences	108.0
wer	count	libri	100.0	-1.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	100.0	-1.0	dev-clean	final	num_sentences	67.575
wer	std	libri	100.0	-1.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	100.0	-1.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	100.0	-1.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	100.0	-1.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	100.0	-1.0	dev-clean	final	num_sentences	78.0
wer	max	libri	100.0	-1.0	dev-clean	final	num_sentences	101.0
wer	count	libri	1.0	2.0	ood	final	num_sentences	2958.0
wer	mean	libri	1.0	2.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	1.0	2.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	1.0	2.0	ood	final	num_sentences	1.0
wer	25%	libri	1.0	2.0	ood	final	num_sentences	1.0
wer	50%	libri	1.0	2.0	ood	final	num_sentences	1.0
wer	75%	libri	1.0	2.0	ood	final	num_sentences	1.0
wer	max	libri	1.0	2.0	ood	final	num_sentences	44.0
wer	count	libri	10.0	0.0	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	0.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	0.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	0.0	ood	final	num_sentences	1.0
wer	25%	libri	10.0	0.0	ood	final	num_sentences	1.0
wer	50%	libri	10.0	0.0	ood	final	num_sentences	1.0
wer	75%	libri	10.0	0.0	ood	final	num_sentences	1.0
wer	max	libri	10.0	0.0	ood	final	num_sentences	44.0
wer	count	libri	100.0	0.5	ood	final	num_sentences	2958.0
wer	mean	libri	100.0	0.5	ood	final	num_sentences	1.4739688979039889
wer	std	libri	100.0	0.5	ood	final	num_sentences	1.8639465628129697
wer	min	libri	100.0	0.5	ood	final	num_sentences	1.0
wer	25%	libri	100.0	0.5	ood	final	num_sentences	1.0
wer	50%	libri	100.0	0.5	ood	final	num_sentences	1.0
wer	75%	libri	100.0	0.5	ood	final	num_sentences	1.0
wer	max	libri	100.0	0.5	ood	final	num_sentences	44.0
wer	count	libri	100.0	0.0	test-clean	final	num_sentences	40.0
wer	mean	libri	100.0	0.0	test-clean	final	num_sentences	65.5
wer	std	libri	100.0	0.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	100.0	0.0	test-clean	final	num_sentences	32.0
wer	25%	libri	100.0	0.0	test-clean	final	num_sentences	49.25
wer	50%	libri	100.0	0.0	test-clean	final	num_sentences	62.0
wer	75%	libri	100.0	0.0	test-clean	final	num_sentences	75.0
wer	max	libri	100.0	0.0	test-clean	final	num_sentences	108.0
wer	count	libri	10.0	-1.0	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	-1.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	-1.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	-1.0	ood	final	num_sentences	1.0
wer	25%	libri	10.0	-1.0	ood	final	num_sentences	1.0
wer	50%	libri	10.0	-1.0	ood	final	num_sentences	1.0
wer	75%	libri	10.0	-1.0	ood	final	num_sentences	1.0
wer	max	libri	10.0	-1.0	ood	final	num_sentences	44.0
wer	count	libri	1.0	2.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	1.0	2.0	dev-clean	final	num_sentences	67.575
wer	std	libri	1.0	2.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	1.0	2.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	1.0	2.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	1.0	2.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	1.0	2.0	dev-clean	final	num_sentences	78.0
wer	max	libri	1.0	2.0	dev-clean	final	num_sentences	101.0
wer	count	libri	0.1	0.0	test-clean	final	num_sentences	40.0
wer	mean	libri	0.1	0.0	test-clean	final	num_sentences	65.5
wer	std	libri	0.1	0.0	test-clean	final	num_sentences	19.56711002861165
wer	min	libri	0.1	0.0	test-clean	final	num_sentences	32.0
wer	25%	libri	0.1	0.0	test-clean	final	num_sentences	49.25
wer	50%	libri	0.1	0.0	test-clean	final	num_sentences	62.0
wer	75%	libri	0.1	0.0	test-clean	final	num_sentences	75.0
wer	max	libri	0.1	0.0	test-clean	final	num_sentences	108.0
wer	count	libri	0.1	-1.0	dev-clean	final	num_sentences	40.0
wer	mean	libri	0.1	-1.0	dev-clean	final	num_sentences	67.575
wer	std	libri	0.1	-1.0	dev-clean	final	num_sentences	16.714629704359176
wer	min	libri	0.1	-1.0	dev-clean	final	num_sentences	36.0
wer	25%	libri	0.1	-1.0	dev-clean	final	num_sentences	56.5
wer	50%	libri	0.1	-1.0	dev-clean	final	num_sentences	68.0
wer	75%	libri	0.1	-1.0	dev-clean	final	num_sentences	78.0
wer	max	libri	0.1	-1.0	dev-clean	final	num_sentences	101.0
wer	count	libri	10.0	8.0	ood	final	num_sentences	2958.0
wer	mean	libri	10.0	8.0	ood	final	num_sentences	1.4739688979039889
wer	std	libri	10.0	8.0	ood	final	num_sentences	1.8639465628129697
wer	min	libri	10.0	8.0	ood	final	num_sentences	1.0
wer	25%	libri	10.0	8.0	ood	final	num_sentences	1.0
wer	50%	libri	10.0	8.0	ood	final	num_sentences	1.0
wer	75%	libri	10.0	8.0	ood	final	num_sentences	1.0
